E,T
0.0,5.83372998827e-11
0.01,8.73096607244e-05
0.02,0.000272242365545
0.03,0.000672034706425
0.04,0.00159017541222
0.05,0.00395189673513
0.06,0.0114253867717
0.07,0.0477442201135
0.08,0.572104164773
0.09,0.231650901982
0.1,0.0644819685382
0.11,0.0349721818944
0.12,0.0248223170912
0.13,0.020334789683
0.14,0.0182206172791
0.15,0.0173722479462
0.16,0.017349470655
0.17,0.0179749953693
0.18,0.0192013988015
0.19,0.0210643557067
0.2,0.0236708449136
0.21,0.027207050315
0.22,0.0319636218667
0.23,0.0383830299209
0.24,0.0471416232153
0.25,0.0592908929959
0.26,0.0765041588419
0.27,0.101514913559
0.28,0.138897306377
0.29,0.196405216618
0.3,0.286890114855
0.31,0.428970690488
0.32,0.636330216035
0.33,0.871197179585
0.34,0.998340065251
0.35,0.9288562857
0.36,0.757390735988
0.37,0.593425852441
0.38,0.469762417565
0.39,0.382475605492
0.4,0.32136665967
0.41,0.278166633146
0.42,0.247258181406
0.43,0.224981578732
0.44,0.208956144197
0.45,0.197616682623
0.46,0.189922191329
0.47,0.185175300845
0.48,0.182911066252
0.49,0.182826367774
0.5,0.184736108835
0.51,0.188544509854
0.52,0.194226894949
0.53,0.201818688599
0.54,0.211407870062
0.55,0.223130991925
0.56,0.23717002702
0.57,0.253750237517
0.58,0.273136603148
0.59,0.29562856862
0.6,0.321549877877
0.61,0.351232044031
0.62,0.38498831246
0.63,0.42307452512
0.64,0.465634612877
0.65,0.512628971077
0.66,0.563750328341
0.67,0.618335264456
0.68,0.675291955395
0.69,0.733073157676
0.7,0.789723387077
0.71,0.843027239825
0.72,0.890751868403
0.73,0.930945956622
0.74,0.96222119595
0.75,0.983939256779
0.76,0.996251684194
0.77,0.99999619611
0.78,0.996493417477
0.79,0.9873095696
0.8,0.974045568811
0.81,0.958182209118
0.82,0.940989821003
0.83,0.923496686064
0.84,0.906491193519
0.85,0.890548601522
0.86,0.876067352278
0.87,0.863304316448
0.88,0.85240740945
0.89,0.843445335724
0.9,0.836427032353
0.91,0.8313195711
0.92,0.828060127306
0.93,0.826563345676
0.94,0.826729813497
0.95,0.828447815852
0.96,0.831596684832
0.97,0.836049229466
0.98,0.841670388868
0.99,0.84832123423
